Fold,Dataset,NumFeaturesUsed,BestIteration,SelectedThreshold,ConstraintMet,ValObjective,FoldVal_Accuracy_SelectedThr,FoldVal_BalancedAccuracy_SelectedThr,FoldVal_Precision_SelectedThr,FoldVal_Recall_SelectedThr,FoldVal_F1_SelectedThr,FoldVal_Specificity_SelectedThr,Val_ROC_AUC,Val_PR_AUC,Val_TN,Val_FP,Val_FN,Val_TP,FoldTrain_Logloss,FoldVal_Logloss,FoldTrain_AUC,FoldVal_AUC,FoldTrain_Accuracy_AtThr0p50,FoldVal_Accuracy_AtThr0p50,LoglossGap,AUCGap,FitDiagnosis
3,CWT,128,295,0.42000000000000004,True,0.990605151729005,0.9903846153846154,0.99,0.9818181818181818,1.0,0.9908256880733946,0.9799999999999803,1.0,1.0,49,1,0,54,0.21648378293510925,0.24097577210193213,0.9988425925925927,1.0,0.9770642201834863,0.9903846153846154,0.02449198916682288,-0.0011574074074073293,Good fit
3,Balanced_COMB,208,2997,0.7000000000000004,True,0.9887069986953165,0.9903846153846154,0.9907407407407407,1.0,0.9814814814814815,0.9906542056074766,0.99999999999998,0.9996296296296296,0.9996632996632995,50,0,1,53,0.0372502228517415,0.11551997999114991,1.000000000000001,0.9996296296296296,1.0,0.9230769230769231,0.0782697571394084,0.0003703703703714645,Good fit
4,FFT,128,10,0.5000000000000001,True,0.8596491228070176,0.8596491228070176,0.862037037037037,0.8166666666666667,0.9074074074074074,0.8596491228070176,0.816666666666653,0.8743827160493827,0.8411995696343175,49,11,5,49,0.6692111841375785,0.6806553617581199,0.9772486772486773,0.8743827160493827,0.9225352112676056,0.8596491228070176,0.011444177620541396,0.10286596119929459,Possible overfitting
4,STFT,128,35,0.5300000000000001,True,0.8535653650254669,0.868421052631579,0.8611111111111112,1.0,0.7222222222222222,0.8387096774193549,0.9999999999999833,0.9348765432098766,0.9407623334188784,60,0,15,39,0.5919776677416287,0.6159706027857534,0.993099647266314,0.9348765432098766,0.931924882629108,0.8508771929824561,0.023992935044124697,0.05822310405643738,Possible overfitting
4,CWT,128,563,0.43000000000000005,True,0.8689931350114417,0.868421052631579,0.8712962962962962,0.819672131147541,0.9259259259259259,0.8695652173913043,0.816666666666653,0.9472222222222222,0.9531760004083218,49,11,4,50,0.07973806357788735,0.3767922038276166,1.0000000000000002,0.9472222222222222,0.9953051643192489,0.8508771929824561,0.2970541402497292,0.052777777777778034,Possible overfitting
4,Balanced_COMB,208,4748,0.7550000000000006,True,0.9820126705653022,0.9824561403508771,0.9824074074074074,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.983333333333317,0.9953703703703703,0.9958444283063019,59,1,1,53,0.021360104905973048,0.21563765777230334,0.9999999999999994,0.9953703703703703,1.0,0.8333333333333334,0.1942775528663303,0.004629629629629095,Good fit
5,FFT,128,83,0.5600000000000002,True,0.6858781278962002,0.7211538461538461,0.73,0.9310344827586207,0.5,0.6506024096385542,0.9599999999999808,0.7859259259259259,0.813765552680431,48,2,27,27,0.5291687631109098,0.6413025892253507,0.9993265993265984,0.7859259259259259,0.981651376146789,0.6634615384615384,0.1121338261144409,0.21340067340067248,Possible overfitting
5,STFT,128,580,0.4600000000000001,True,0.990605151729005,0.9903846153846154,0.99,0.9818181818181818,1.0,0.9908256880733946,0.9799999999999803,1.0,1.0,49,1,0,54,0.09623427430450417,0.20266895988845013,0.9999999999999989,1.0,0.9954128440366973,0.9903846153846154,0.10643468558394596,-1.1102230246251565e-15,Good fit
5,CWT,128,332,0.21000000000000002,True,0.990519410496046,0.9903846153846154,0.9907407407407407,1.0,0.9814814814814815,0.9906542056074766,0.99999999999998,1.0,1.0,50,0,1,53,0.17932595823855674,0.2500790374187549,0.9988005050505051,1.0,0.9839449541284404,0.9134615384615384,0.07075307918019819,-0.0011994949494948948,Good fit
5,Balanced_COMB,208,8999,0.5000000000000002,True,0.9999999999999959,1.0,1.0,1.0,1.0,1.0,0.99999999999998,1.0,1.0,50,0,0,54,0.017365301754011967,0.05720887550197799,1.0000000000000009,1.0,1.0,1.0,0.03984357374796603,8.881784197001252e-16,Good fit
